File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD16A3GF_006_ET_500m_doy2012001_aid0543,ET_500m,aid0543,2012-01-01,260.0,687.3,1685.1,"(687.3,1685.1)",1074.1580769,205.3726977,42177.9449732,1286.475,1685.1,1041.15,687.3,921.175
MOD16A3GF_006_ET_500m_doy2013001_aid0543,ET_500m,aid0543,2013-01-01,260.0,756.7,1610.0,"(756.7,1610.0)",1081.8980769,157.8993368,24932.2005732,1212.75,1460.1,1094.35,756.7,957.4
MOD16A3GF_006_ET_500m_doy2014001_aid0543,ET_500m,aid0543,2014-01-01,260.0,635.6,1729.9,"(635.6,1729.9)",1073.5053846,221.2609202,48956.3948172,1315.725,1729.9,1043.15,635.6,901.95
MOD16A3GF_006_ET_500m_doy2015001_aid0543,ET_500m,aid0543,2015-01-01,260.0,729.5,1669.6,"(729.5,1669.6)",1097.7715385,171.3579927,29363.5616515,1246.525,1383.5,1115.5,729.5,982.55
MOD16A3GF_006_ET_500m_doy2010001_aid0544,ET_500m,aid0544,2010-01-01,1401.0,578.7,1583.7,"(578.7,1583.7)",953.3181299,164.6530349,27110.6219126,1062.1,1409.4,971.3,578.7,818.6
MOD16A3GF_006_ET_500m_doy2011001_aid0544,ET_500m,aid0544,2011-01-01,1401.0,554.9,1541.3,"(554.9,1541.3)",891.7655246,153.8282672,23663.1357922,992.2,1312.3,901.3,554.9,771.8
MOD16A3GF_006_ET_500m_doy2012001_aid0544,ET_500m,aid0544,2012-01-01,1401.0,570.9,1548.5,"(570.9,1548.5)",976.4668808,171.7387647,29494.2033143,1090.4,1468.0,997.5,570.9,833.7
MOD16A3GF_006_ET_500m_doy2013001_aid0544,ET_500m,aid0544,2013-01-01,1401.0,664.8,1484.8,"(664.8,1484.8)",1003.504354,159.5301409,25449.8658411,1117.6,1469.6,1021.4,664.8,877.9
MOD16A3GF_006_ET_500m_doy2014001_aid0544,ET_500m,aid0544,2014-01-01,1401.0,468.7,1380.3,"(468.7,1380.3)",874.9518201,159.31205,25380.3292633,980.3,1314.9,903.9,468.7,752.7
MOD16A3GF_006_ET_500m_doy2015001_aid0544,ET_500m,aid0544,2015-01-01,1401.0,590.1,1495.4,"(590.1,1495.4)",987.4754461,171.3554641,29362.6950859,1097.9,1456.9,1008.8,590.1,858.1
MOD16A3GF_006_ET_500m_doy2010001_aid0545,ET_500m,aid0545,2010-01-01,757.0,638.7,1368.3,"(638.7,1368.3)",983.9498018,147.3720404,21718.5182992,1083.4,1353.6,995.8,638.7,902.9
MOD16A3GF_006_ET_500m_doy2011001_aid0545,ET_500m,aid0545,2011-01-01,757.0,580.6,1486.9,"(580.6,1486.9)",938.5519155,165.9037743,27524.0623378,1052.9,1374.5,930.0,580.6,827.2
MOD16A3GF_006_ET_500m_doy2012001_aid0545,ET_500m,aid0545,2012-01-01,757.0,618.0,1521.5,"(618.0,1521.5)",1010.7273448,174.1417622,30325.3533474,1134.7,1466.9,1014.5,618.0,911.1
MOD16A3GF_006_ET_500m_doy2013001_aid0545,ET_500m,aid0545,2013-01-01,757.0,663.3,1674.9,"(663.3,1674.9)",1057.4678996,174.7125058,30524.4596961,1186.0,1508.1,1055.3,663.3,959.9
MOD16A3GF_006_ET_500m_doy2014001_aid0545,ET_500m,aid0545,2014-01-01,757.0,505.2,1402.8,"(505.2,1402.8)",905.289432,167.1764334,27947.9598883,1019.9,1324.3,915.5,505.2,806.2
MOD16A3GF_006_ET_500m_doy2015001_aid0545,ET_500m,aid0545,2015-01-01,757.0,662.6,1496.1,"(662.6,1496.1)",1033.4771466,177.9289576,31658.7139691,1165.9,1496.1,1039.5,662.6,926.2
MOD16A3GF_006_ET_500m_doy2010001_aid0546,ET_500m,aid0546,2010-01-01,583.0,636.8,1632.8,"(636.8,1632.8)",1062.4828473,144.5159754,20884.86715,1138.35,1366.2,1051.4,766.0,984.45
MOD16A3GF_006_ET_500m_doy2011001_aid0546,ET_500m,aid0546,2011-01-01,583.0,603.2,1526.5,"(603.2,1526.5)",1034.1259005,140.0252456,19607.0693978,1109.05,1326.4,1026.6,752.5,954.4
MOD16A3GF_006_ET_500m_doy2012001_aid0546,ET_500m,aid0546,2012-01-01,583.0,586.2,1633.4,"(586.2,1633.4)",1076.0327616,150.6877692,22706.8037809,1167.8,1435.0,1066.4,738.1,989.5
MOD16A3GF_006_ET_500m_doy2013001_aid0546,ET_500m,aid0546,2013-01-01,583.0,663.2,1674.0,"(663.2,1674.0)",1126.203259,156.7140737,24559.3008985,1207.1,1459.6,1125.2,785.9,1035.1
MOD16A3GF_006_ET_500m_doy2014001_aid0546,ET_500m,aid0546,2014-01-01,583.0,459.3,1417.5,"(459.3,1417.5)",911.3137221,142.2332264,20230.2906865,974.4,1173.8,913.7,634.3,838.25
MOD16A3GF_006_ET_500m_doy2015001_aid0546,ET_500m,aid0546,2015-01-01,583.0,622.5,1749.2,"(622.5,1749.2)",1147.6814751,176.8146292,31263.4131045,1239.45,1518.5,1146.0,775.9,1046.6
MOD16A3GF_006_ET_500m_doy2010001_aid0547,ET_500m,aid0547,2010-01-01,395.0,638.5,1539.8,"(638.5,1539.8)",980.2853165,161.1797751,25978.9198857,1065.2,1306.9,983.9,638.5,891.05
MOD16A3GF_006_ET_500m_doy2011001_aid0547,ET_500m,aid0547,2011-01-01,395.0,623.8,1518.0,"(623.8,1518.0)",930.6210127,152.210812,23168.13128,998.95,1225.4,926.4,623.8,847.3
MOD16A3GF_006_ET_500m_doy2012001_aid0547,ET_500m,aid0547,2012-01-01,395.0,602.6,1524.3,"(602.6,1524.3)",988.0091139,164.7957363,27157.6347017,1070.0,1304.8,992.7,664.9,906.45
MOD16A3GF_006_ET_500m_doy2013001_aid0547,ET_500m,aid0547,2013-01-01,395.0,682.9,1521.6,"(682.9,1521.6)",1027.8863291,149.7589896,22427.7549523,1106.6,1324.5,1021.4,701.0,942.2
MOD16A3GF_006_ET_500m_doy2014001_aid0547,ET_500m,aid0547,2014-01-01,395.0,496.2,1423.0,"(496.2,1423.0)",844.2589873,141.5307441,20030.9515332,927.4,1132.3,856.5,565.9,781.2
MOD16A3GF_006_ET_500m_doy2015001_aid0547,ET_500m,aid0547,2015-01-01,395.0,628.6,1309.5,"(628.6,1309.5)",975.735443,125.9742875,15869.5211235,1064.4,1256.8,986.5,678.3,909.85
MOD16A3GF_006_ET_500m_doy2010001_aid0548,ET_500m,aid0548,2010-01-01,1641.0,644.6,1771.4,"(644.6,1771.4)",1019.9708714,146.4100275,21435.8961655,1081.2,1314.7,1002.0,704.1,924.9
MOD16A3GF_006_ET_500m_doy2011001_aid0548,ET_500m,aid0548,2011-01-01,1641.0,623.6,1500.6,"(623.6,1500.6)",978.5285801,140.7092648,19799.0971905,1045.0,1277.9,963.9,665.1,889.4
MOD16A3GF_006_ET_500m_doy2012001_aid0548,ET_500m,aid0548,2012-01-01,1641.0,565.2,1576.0,"(565.2,1576.0)",1011.87727,157.0150415,24653.7232432,1087.0,1343.6,1001.4,658.0,913.9
MOD16A3GF_006_ET_500m_doy2013001_aid0548,ET_500m,aid0548,2013-01-01,1641.0,684.7,1579.6,"(684.7,1579.6)",1037.946557,140.7061497,19798.2205503,1108.5,1347.8,1028.8,707.5,947.9
MOD16A3GF_006_ET_500m_doy2014001_aid0548,ET_500m,aid0548,2014-01-01,1641.0,520.0,1528.8,"(520.0,1528.8)",922.7127361,158.81463,25222.0866934,998.1,1254.9,909.1,568.4,825.5
MOD16A3GF_006_ET_500m_doy2015001_aid0548,ET_500m,aid0548,2015-01-01,1641.0,631.4,1609.2,"(631.4,1609.2)",1055.3591712,156.8228779,24593.4150423,1137.3,1407.2,1043.4,684.0,955.0
MOD16A3GF_006_ET_500m_doy2010001_aid0549,ET_500m,aid0549,2010-01-01,2369.0,610.0,1870.4,"(610.0,1870.4)",1116.6593077,168.0945035,28255.7620926,1197.9,1470.2,1100.8,744.6,1016.3
MOD16A3GF_006_ET_500m_doy2011001_aid0549,ET_500m,aid0549,2011-01-01,2369.0,586.9,1752.9,"(586.9,1752.9)",1091.2520473,161.6259355,26122.9430277,1167.1,1423.9,1076.2,738.6,995.2
MOD16A3GF_006_ET_500m_doy2012001_aid0549,ET_500m,aid0549,2012-01-01,2369.0,559.6,1766.9,"(559.6,1766.9)",1135.3670747,175.7776988,30897.7993803,1226.7,1523.6,1122.9,735.2,1028.3
MOD16A3GF_006_ET_500m_doy2013001_aid0549,ET_500m,aid0549,2013-01-01,2369.0,634.8,1809.4,"(634.8,1809.4)",1186.7607851,168.182388,28285.3156298,1282.0,1580.3,1178.8,779.8,1078.7
MOD16A3GF_006_ET_500m_doy2014001_aid0549,ET_500m,aid0549,2014-01-01,2369.0,450.4,1659.3,"(450.4,1659.3)",981.9025327,178.1958898,31753.7751392,1056.0,1325.1,959.8,603.4,874.8
MOD16A3GF_006_ET_500m_doy2015001_aid0549,ET_500m,aid0549,2015-01-01,2369.0,560.8,1881.1,"(560.8,1881.1)",1202.5263824,182.4218799,33277.7422715,1306.3,1628.0,1191.0,768.5,1091.1
MOD16A3GF_006_ET_500m_doy2010001_aid0550,ET_500m,aid0550,2010-01-01,17.0,825.7,1014.0,"(825.7,1014.0)",909.0529412,65.9176234,4345.1330796,946.6,1014.0,929.6,825.7,845.0
MOD16A3GF_006_ET_500m_doy2011001_aid0550,ET_500m,aid0550,2011-01-01,17.0,837.6,1090.6,"(837.6,1090.6)",930.9882353,80.755243,6521.4092734,977.9,1090.6,941.0,837.6,855.5
MOD16A3GF_006_ET_500m_doy2012001_aid0550,ET_500m,aid0550,2012-01-01,17.0,788.3,990.5,"(788.3,990.5)",872.1764706,59.0737877,3489.7123875,901.0,990.5,845.0,788.3,830.9
MOD16A3GF_006_ET_500m_doy2013001_aid0550,ET_500m,aid0550,2013-01-01,17.0,867.3,1097.4,"(867.3,1097.4)",947.2235294,67.0868228,4500.6417993,970.8,1042.1,941.0,867.3,896.1
MOD16A3GF_006_ET_500m_doy2014001_aid0550,ET_500m,aid0550,2014-01-01,17.0,764.2,983.2,"(764.2,983.2)",854.1764706,64.7754722,4195.8617993,878.9,983.2,836.7,764.2,805.8
MOD16A3GF_006_ET_500m_doy2015001_aid0550,ET_500m,aid0550,2015-01-01,17.0,882.6,1127.2,"(882.6,1127.2)",984.9882353,74.3607335,5529.5186851,1015.5,1127.2,988.2,882.6,912.4
MOD16A3GF_006_ET_500m_doy2010001_aid0551,ET_500m,aid0551,2010-01-01,2614.0,621.2,1770.0,"(621.2,1770.0)",1042.320352,160.8958998,25887.4905575,1119.775,1366.9,1029.55,708.1,954.725
MOD16A3GF_006_ET_500m_doy2011001_aid0551,ET_500m,aid0551,2011-01-01,2614.0,589.0,1604.9,"(589.0,1604.9)",987.8348125,162.4597468,26393.1693237,1076.0,1351.0,975.45,619.7,892.1
MOD16A3GF_006_ET_500m_doy2012001_aid0551,ET_500m,aid0551,2012-01-01,2614.0,589.7,1706.9,"(589.7,1706.9)",1081.1520275,173.0620509,29950.4734523,1173.475,1456.7,1071.8,699.2,983.5
MOD16A3GF_006_ET_500m_doy2013001_aid0551,ET_500m,aid0551,2013-01-01,2614.0,601.7,1746.0,"(601.7,1746.0)",1098.0691278,164.1863798,26957.1673216,1192.45,1469.4,1090.9,724.3,1005.125
MOD16A3GF_006_ET_500m_doy2014001_aid0551,ET_500m,aid0551,2014-01-01,2614.0,385.6,1526.1,"(385.6,1526.1)",944.1228003,157.5715685,24828.7992124,1031.525,1271.4,945.1,610.7,863.125
MOD16A3GF_006_ET_500m_doy2015001_aid0551,ET_500m,aid0551,2015-01-01,2614.0,510.9,1650.7,"(510.9,1650.7)",1089.013772,174.4725433,30440.6683566,1196.4,1504.8,1093.1,682.5,990.125
MOD16A3GF_006_ET_500m_doy2010001_aid0552,ET_500m,aid0552,2010-01-01,852.0,642.3,1786.4,"(642.3,1786.4)",1129.6747653,199.1840684,39674.2931073,1258.25,1571.5,1084.9,642.3,991.875
MOD16A3GF_006_ET_500m_doy2011001_aid0552,ET_500m,aid0552,2011-01-01,852.0,616.5,1806.1,"(616.5,1806.1)",1093.0298122,197.6187157,39053.1567873,1220.3,1595.2,1047.4,616.5,952.8
