"Data generated on Friday, April 14, 2023 at 1:51:01 PM EST"
Area/Partners of Origin,,,,,January - December
And Consumption  Commodities Imported,,,,,Cumulative To Date Values in Thousands of dollars
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Jan - Feb 2023,,
Partner,HS Code,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Average (Value),Reporter Code,Partner Code,Product Code,
"Brazil","1604000","COFFEE SUBS,NES","0","0","0","0","26","50","0","16","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","US","BR","1604000",
"Brazil","2101102025","SOL COFFEE N/DEC","0","0","0","0","0","0","0","0","0","45,901","47,020","24,529","34,709","38,541","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4,435","US","BR","2101102025",
"Brazil","2101102030","SOL COFFEE DECAF","0","0","0","0","0","0","0","0","0","2,742","2,526","1,024","1,363","1,385","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","210","US","BR","2101102030",
"Brazil","2101102040","COFFEE,EXT,ESSNT","0","0","0","0","0","0","0","0","0","1,343","286","207","2","159","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46","US","BR","2101102040",
"Brazil","2101102126","INST COF NO FLAV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3,455","3,403","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","160","US","BR","2101102126",
"Brazil","2101102129","OTHR INST COFFEE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47,243","60,591","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,508","US","BR","2101102129",
"Brazil","2101102131","INST DECAF COFFE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","255","635","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","US","BR","2101102131",
"Brazil","2101102139","OTH INST DEC COF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","809","2,113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68","US","BR","2101102139",
"Brazil","2101102941","OTH COF EXTR RET","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","US","BR","2101102941",
"Brazil","2101102949","OTH COF EXTR NRT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","287","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","US","BR","2101102949",
